Sequence,Order,ordensrelasjon::orden_norsknavn,Family,familierelasjon::familie_norsknavn,Scientific_name,norskAviListv1,English_name_AviList
4,Struthioniformes,Strutsefugler,Struthionidae,Strutsefamilien,Struthio molybdophanes,somalistruts,Somali Ostrich
5,Struthioniformes,Strutsefugler,Struthionidae,Strutsefamilien,Struthio camelus,slettestruts,Common Ostrich
13,Casuariiformes,Kasuarfugler,Casuariidae,Kasuarfamilien,Dromaius novaehollandiae,emu,Emu
19,Casuariiformes,Kasuarfugler,Casuariidae,Kasuarfamilien,Casuarius casuarius,toflikkasuar,Southern Cassowary
20,Casuariiformes,Kasuarfugler,Casuariidae,Kasuarfamilien,Casuarius bennetti,dvergkasuar,Dwarf Cassowary
23,Casuariiformes,Kasuarfugler,Casuariidae,Kasuarfamilien,Casuarius unappendiculatus,enflikkasuar,Northern Cassowary
27,Apterygiformes,Kivier,Apterygidae,Kivifamilien,Apteryx owenii,dvergkivi,Little Spotted Kiwi
28,Apterygiformes,Kivier,Apterygidae,Kivifamilien,Apteryx maxima,flekkivi,Great Spotted Kiwi
29,Apterygiformes,Kivier,Apterygidae,Kivifamilien,Apteryx australis,sørbrunkivi,Southern Brown Kiwi
32,Apterygiformes,Kivier,Apterygidae,Kivifamilien,Apteryx rowi,okaritokivi,Okarito Kiwi
33,Apterygiformes,Kivier,Apterygidae,Kivifamilien,Apteryx mantelli,nordbrunkivi,North Island Brown Kiwi
37,Rheiformes,Nanduer,Rheidae,Nandufamilien,Rhea pennata,fjellnandu,Lesser Rhea
41,Rheiformes,Nanduer,Rheidae,Nandufamilien,Rhea americana,stornandu,Greater Rhea
50,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamotis pentlandii,punatinamu,Puna Tinamou
51,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamotis ingoufi,patagoniatinamu,Patagonian Tinamou
53,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Eudromia formosa,nordtopptinamu,Quebracho Crested Tinamou
56,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Eudromia elegans,sørtopptinamu,Elegant Crested Tinamou
68,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Taoniscus nanus,pygmétinamu,Dwarf Tinamou
70,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothura boraquira,hvitøyetinamu,White-bellied Nothura
71,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothura minor,dvergtinamu,Lesser Nothura
72,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothura darwinii,darwintinamu,Darwin's Nothura
78,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothura maculosa,flekktinamu,Spotted Nothura
89,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Rhynchotus maculicollis,flekkhalstinamu,Huayco Tinamou
90,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Rhynchotus rufescens,rødvingetinamu,Red-winged Tinamou
95,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta taczanowskii,perutinamu,Taczanowski's Tinamou
96,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta ornata,fjelltinamu,Ornate Tinamou
100,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta perdicaria,chiletinamu,Chilean Tinamou
103,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta cinerascens,busktinamu,Brushland Tinamou
106,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta pentlandii,andestinamu,Andean Tinamou
115,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothoprocta curvirostris,krumnebbtinamu,Curve-billed Tinamou
119,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothocercus julius,brunbrysttinamu,Tawny-breasted Tinamou
120,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothocercus bonapartei,bambustinamu,Highland Tinamou
126,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Nothocercus nigrocapillus,blyhettetinamu,Hooded Tinamou
130,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamus tao,taotinamu,Grey Tinamou
135,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamus solitarius,eremittinamu,Solitary Tinamou
136,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamus osgoodi,svarttinamu,Black Tinamou
139,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamus major,stortinamu,Great Tinamou
152,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Tinamus guttatus,perletinamu,White-throated Tinamou
154,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus cinereus,gråtinamu,Cinereous Tinamou
155,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus berlepschi,sottinamu,Berlepsch's Tinamou
156,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus soui,småtinamu,Little Tinamou
171,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus ptaritepui,tepuitinamu,Tepui Tinamou
172,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus obsoletus,bruntinamu,Brown Tinamou
182,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus undulatus,amazontinamu,Undulated Tinamou
189,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus transfasciatus,hvitbryntinamu,Pale-browed Tinamou
190,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus strigulosus,brasiltinamu,Brazilian Tinamou
191,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus duidae,gråbeintinamu,Grey-legged Tinamou
192,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus erythropus,rødbeintinamu,Red-legged Tinamou
200,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus noctivagus,gulbeintinamu,Yellow-legged Tinamou
203,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus atrocapillus,svarthettetinamu,Black-capped Tinamou
206,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus boucardi,gråbrysttinamu,Slaty-breasted Tinamou
209,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus kerriae,chocotinamu,Choco Tinamou
210,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus variegatus,rusthalstinamu,Variegated Tinamou
211,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus cinnamomeus,krattinamu,Thicket Tinamou
221,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus brevirostris,jungeltinamu,Rusty Tinamou
222,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus bartletti,skogtinamu,Bartlett's Tinamou
223,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus parvirostris,kortnebbtinamu,Small-billed Tinamou
224,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus casiquiare,stripetinamu,Barred Tinamou
225,Tinamiformes,Tinamuer,Tinamidae,Tinamufamilien,Crypturellus tataupa,tataupatinamu,Tataupa Tinamou
233,Anseriformes,Andefugler,Anhimidae,Gjeterfuglfamilien,Anhima cornuta,horngjeterfugl,Horned Screamer
235,Anseriformes,Andefugler,Anhimidae,Gjeterfuglfamilien,Chauna chavaria,svarthalsgjeterfugl,Northern Screamer
236,Anseriformes,Andefugler,Anhimidae,Gjeterfuglfamilien,Chauna torquata,kragegjeterfugl,Southern Screamer
239,Anseriformes,Andefugler,Anseranatidae,Skjæregåsfamilien,Anseranas semipalmata,skjæregås,Magpie Goose
242,Anseriformes,Andefugler,Anatidae,Andefamilien,Thalassornis leuconotus,hvitryggand,White-backed Duck
246,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna guttata,perleplystreand,Spotted Whistling Duck
247,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna eytoni,prydplystreand,Plumed Whistling Duck
248,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna viduata,maskeplystreand,White-faced Whistling Duck
249,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna autumnalis,rødnebbplystreand,Black-bellied Whistling Duck
252,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna arborea,palmeplystreand,West Indian Whistling Duck
253,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna bicolor,brunplystreand,Fulvous Whistling Duck
254,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna arcuata,hetteplystreand,Wandering Whistling Duck
258,Anseriformes,Andefugler,Anatidae,Andefamilien,Dendrocygna javanica,småplystreand,Lesser Whistling Duck
260,Anseriformes,Andefugler,Anatidae,Andefamilien,Biziura lobata,pungand,Musk Duck
264,Anseriformes,Andefugler,Anatidae,Andefamilien,Nettapus pulchellus,grønndvergand,Green Pygmy Goose
265,Anseriformes,Andefugler,Anatidae,Andefamilien,Nettapus coromandelianus,beltedvergand,Cotton Pygmy Goose
268,Anseriformes,Andefugler,Anatidae,Andefamilien,Nettapus auritus,praktdvergand,African Pygmy Goose
270,Anseriformes,Andefugler,Anatidae,Andefamilien,Stictonetta naevosa,fregneand,Freckled Duck
272,Anseriformes,Andefugler,Anatidae,Andefamilien,Heteronetta atricapilla,gjøkand,Black-headed Duck
274,Anseriformes,Andefugler,Anatidae,Andefamilien,Nomonyx dominicus,maskeand,Masked Duck
276,Anseriformes,Andefugler,Anatidae,Andefamilien,Oxyura leucocephala,hvithodeand,White-headed Duck
277,Anseriformes,Andefugler,Anatidae,Andefamilien,Oxyura australis,blånebband,Blue-billed Duck
278,Anseriformes,Andefugler,Anatidae,Andefamilien,Oxyura maccoa,kaffeand,Maccoa Duck
279,Anseriformes,Andefugler,Anatidae,Andefamilien,Oxyura vittata,trommeand,Lake Duck
280,Anseriformes,Andefugler,Anatidae,Andefamilien,Oxyura jamaicensis,kobberand,Ruddy Duck
285,Anseriformes,Andefugler,Anatidae,Andefamilien,Plectropterus gambensis,sporegås,Spur-winged Goose
289,Anseriformes,Andefugler,Anatidae,Andefamilien,Malacorhynchus membranaceus,leppeand,Pink-eared Duck
291,Anseriformes,Andefugler,Anatidae,Andefamilien,Coscoroba coscoroba,coscorobasvane,Coscoroba Swan
293,Anseriformes,Andefugler,Anatidae,Andefamilien,Cereopsis novaehollandiae,hønsegås,Cape Barren Goose
297,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus melancoryphus,svarthalssvane,Black-necked Swan
298,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus olor,knoppsvane,Mute Swan
299,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus atratus,svartsvane,Black Swan
300,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus columbianus,dvergsvane,Tundra Swan
303,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus cygnus,sangsvane,Whooper Swan
304,Anseriformes,Andefugler,Anatidae,Andefamilien,Cygnus buccinator,trompetsvane,Trumpeter Swan
306,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta bernicla,ringgås,Brant Goose
310,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta ruficollis,rødhalsgås,Red-breasted Goose
311,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta sandvicensis,hawaiigås,Nene
312,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta canadensis,kanadagås,Canada Goose
320,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta leucopsis,hvitkinngås,Barnacle Goose
321,Anseriformes,Andefugler,Anatidae,Andefamilien,Branta hutchinsii,polargås,Cackling Goose
327,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser indicus,stripegås,Bar-headed Goose
328,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser canagicus,keisergås,Emperor Goose
329,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser rossii,eskimogås,Ross's Goose
330,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser caerulescens,snøgås,Snow Goose
333,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser anser,grågås,Greylag Goose
336,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser cygnoides,svanegås,Swan Goose
337,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser erythropus,dverggås,Lesser White-fronted Goose
338,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser albifrons,tundragås,Greater White-fronted Goose
344,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser serrirostris,tundrasædgås,Tundra Bean Goose
347,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser brachyrhynchus,kortnebbgås,Pink-footed Goose
348,Anseriformes,Andefugler,Anatidae,Andefamilien,Anser fabalis,taigasædgås,Taiga Bean Goose
353,Anseriformes,Andefugler,Anatidae,Andefamilien,Merganetta armata,strømand,Torrent Duck
361,Anseriformes,Andefugler,Anatidae,Andefamilien,Callonetta leucophrys,prydand,Ringed Teal
363,Anseriformes,Andefugler,Anatidae,Andefamilien,Cairina moschata,knoppand,Muscovy Duck
365,Anseriformes,Andefugler,Anatidae,Andefamilien,Aix galericulata,mandarinand,Mandarin Duck
366,Anseriformes,Andefugler,Anatidae,Andefamilien,Aix sponsa,brudeand,Wood Duck
368,Anseriformes,Andefugler,Anatidae,Andefamilien,Neochen jubata,amazongås,Orinoco Goose
370,Anseriformes,Andefugler,Anatidae,Andefamilien,Chloephaga melanoptera,andesgås,Andean Goose
371,Anseriformes,Andefugler,Anatidae,Andefamilien,Chloephaga picta,sebragås,Upland Goose
374,Anseriformes,Andefugler,Anatidae,Andefamilien,Chloephaga hybrida,taregås,Kelp Goose
377,Anseriformes,Andefugler,Anatidae,Andefamilien,Chloephaga poliocephala,gråhodegås,Ashy-headed Goose
378,Anseriformes,Andefugler,Anatidae,Andefamilien,Chloephaga rubidiceps,brunhodegås,Ruddy-headed Goose
380,Anseriformes,Andefugler,Anatidae,Andefamilien,Radjah radjah,beltegravand,Radjah Shelduck
384,Anseriformes,Andefugler,Anatidae,Andefamilien,Alopochen aegyptiaca,niland,Egyptian Goose
385,Anseriformes,Andefugler,Anatidae,Andefamilien,Alopochen mauritiana,mauritiusand,Mauritius Sheldgoose
386,Anseriformes,Andefugler,Anatidae,Andefamilien,Alopochen kervazoi,réunionand,Reunion Sheldgoose
388,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna tadorna,gravand,Common Shelduck
389,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna cristata,koreagravand,Crested Shelduck
390,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna cana,kapprustand,South African Shelduck
391,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna ferruginea,rustand,Ruddy Shelduck
392,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna variegata,maorirustand,Paradise Shelduck
393,Anseriformes,Andefugler,Anatidae,Andefamilien,Tadorna tadornoides,praktrustand,Australian Shelduck
395,Anseriformes,Andefugler,Anatidae,Andefamilien,Clangula hyemalis,havelle,Long-tailed Duck
397,Anseriformes,Andefugler,Anatidae,Andefamilien,Polysticta stelleri,stellerand,Steller's Eider
399,Anseriformes,Andefugler,Anatidae,Andefamilien,Camptorhynchus labradorius,labradorand,Labrador Duck
401,Anseriformes,Andefugler,Anatidae,Andefamilien,Somateria fischeri,brilleærfugl,Spectacled Eider
