No bird_ei lintu
Human_ihminen
Clangula hyemalis_alli
Falco columbarius_ampuhaukka
Circus macrourus_arosuohaukka
Uria aalge_etelänkiisla
Phasianus colchicus_fasaani
Somateria mollissima_haahka
Mareca penelope_haapana
Milvus migrans_haarahaukka
Hirundo rustica_haarapääsky
Pica pica_harakka
Upupa epops_harjalintu
Ardea cinerea_harmaahaikara
Larus argentatus_harmaalokki
Picus canus_harmaapäätikka
Muscicapa striata_harmaasieppo
Mareca strepera_harmaasorsa
Gallinago media_heinäkurppa
Spatula querquedula_heinätavi
Aegolius funereus_helmipöllö
Linaria cannabina_hemppo
Sylvia curruca_hernekerttu
Buteo buteo_hiirihaukka
Surnia ulula_hiiripöllö
Regulus regulus_hippiäinen
Phylloscopus proregulus_hippiäisuunilintu
Bubo bubo_huuhkaja
Podiceps grisegena_härkälintu
Poecile montanus_hömötiainen
Phylloscopus trochiloides_idänuunilintu
Mergus merganser_isokoskelo
Loxia pytyopsittacus_isokäpylintu
Lanius excubitor_isolepinkäinen
Calidris canutus_isosirri
Ardea alba_jalohaikara
Anas acuta_jouhisorsa
Lymnocryptes minimus_jänkäkurppa
Calidris falcinellus_jänkäsirriäinen
Fringilla montifringilla_järripeippo
Gavia stellata_kaakkuri
Larus canus_kalalokki
Sterna hirundo_kalatiira
Branta canadensis_kanadanhanhi
Accipiter gentilis_kanahaukka
Lullula arborea_kangaskiuru
Pluvialis apricaria_kapustarinta
Arenaria interpres_karikukko
Botaurus stellaris_kaulushaikara
Caprimulgus europaeus_kehrääjä
Serinus serinus_keltahemppo
Emberiza citrinella_keltasirkku
Motacilla flava_keltavästäräkki
Charadrius morinellus_keräkurmitsa
Columba livia_kesykyyhky
Lagopus muta_kiiruna
Anser erythropus_kiljuhanhi
Clanga clanga_kiljukotka
Sylvia nisoria_kirjokerttu
Ficedula hypoleuca_kirjosieppo
Loxia leucoptera_kirjosiipikäpylintu
Alauda arvensis_kiuru
Oenanthe oenanthe_kivitasku
Corvus corax_korppi
Cinclus cinclus_koskikara
Sturnus vulgaris_kottarainen
Oriolus oriolus_kuhankeittäjä
Gavia arctica_kuikka
Turdus viscivorus_kulorastas
Hippolais icterina_kultarinta
Alcedo atthis_kuningaskalastaja
Numenius arquata_kuovi
Calidris ferruginea_kuovisirri
Grus grus_kurki
Perisoreus infaustus_kuukkeli
Periparus ater_kuusitiainen
Cygnus olor_kyhmyjoutsen
Jynx torquilla_käenpiika
Cuculus canorus_käki
Dendrocopos major_käpytikka
Tringa stagnatilis_lampiviklo
Spatula clypeata_lapasorsa
Aythya marila_lapasotka
Anthus cervinus_lapinkirvinen
Strix nebulosa_lapinpöllö
Calcarius lapponicus_lapinsirkku
Calidris temminckii_lapinsirri
Poecile cinctus_lapintiainen
Sterna paradisaea_lapintiira
Phylloscopus borealis_lapinuunilintu
Cygnus cygnus_laulujoutsen
Turdus philomelos_laulurastas
Sylvia borin_lehtokerttu
Scolopax rusticola_lehtokurppa
Strix aluco_lehtopöllö
Phoenicurus phoenicurus_leppälintu
