class_idx,scientific_name,taxo_code,assets_id,en,en_uk,af,ar,bg,ca,cs,da,de,el,es,fi,fr,he,hr,hu,in,is,it,ja,ko,lt,ml,nl,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sr,sv,th,tr,uk,zh,missing_langs
0,No bird,nobird,,No bird,,,,,,,,,,,ei lintu,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Human,human,,Human,,,,,,,,,,,ihminen,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clangula hyemalis,lotduc,,Long-tailed Duck,Long-tailed Duck,Long-tailed Duck,بطة طويلة الذيل,Ледена потапница,Ànec Glacial,hoholka lední,Havlit,Eisente,Χιονόπαπια,Pato Havelda,alli,Harelde kakawi,ברווז קרח,patka ledara,Jegesréce,Long-tailed Duck,Hávella,Moretta codona,コオリガモ,바다꿩,Ledinė antis,Long-tailed Duck,IJseend,havelle,lodówka,Pato-Rabilongo,Pato-rabilongo,Rață de ghețuri,Морянка,ľadovka dlhochvostá,Zimska raca,Ledenjarka,Alfågel,เป็ดหางยาว,Telkuyruk,Морянка,长尾鸭,
3,Falco columbarius,merlin,,Merlin,Merlin,Merlin,يؤيؤ,Малък сокол,Esmirla,dřemlík tundrový,Dværgfalk,Merlin,Νανογέρακο,Esmerejón,ampuhaukka,Faucon émerillon,בז גמדי,mali sokol,Kis sólyom,Merlin,Smyrill,Smeriglio,コチョウゲンボウ,쇠황조롱이,Startsakalis,Merlin,Smelleken,dvergfalk,drzemlik,Esmerilhão,Esmerilhão,Șoim de iarnă,Дербник,sokol kobec,Mali sokol,Mali soko,Stenfalk,เหยี่ยวเมอร์ลิน,Boz Doğan,Підсоколик малий,灰背隼,
4,Circus macrourus,palhar1,,Pallid Harrier,Pallid Harrier,Witborsvleivalk (-paddavreter),مرزة بغثاء,Степен блатар,Arpella Pàl·lida Russa,moták stepní,Steppehøg,Steppenweihe,Στεπόκιρκος,Aguilucho Papialbo,arosuohaukka,Busard pâle,זרון שדות,stepska eja,Fakó rétihéja,Pallid Harrier,Fölheiðir,Albanella pallida,ウスハイイロチュウヒ,Pallid Harrier,Stepinė lingė,മേടുതപ്പി,Steppekiekendief,steppehauk,błotniak stepowy,Tartaranhão-Pálido,Tartaranhão-pálido,Erete alb,Степной лунь,kaňa stepná,Stepski lunj,Stepska eja,Stäpphök,เหยี่ยวทุ่งสีจาง,Bozkır Delicesi,Лунь степовий,草原鹞,
5,Uria aalge,commur,,Common Murre,Common Guillemot,Common Murre,Common Murre,Тънкоклюна кайра,Somorgollaire Comú,alkoun úzkozobý,Lomvie,Trottellumme,Λεπτόραμφος Κέπφος,Arao Común,etelänkiisla,Guillemot marmette,אורייה מצויה,tankokljuna njorka,Lumma,Common Murre,Langvía,Uria,ウミガラス,바다오리,Laibasnapis narūnėlis,Common Murre,Zeekoet,lomvi,nurzyk,Airo,Airo,Alcă nordică,Тонкоклювая кайра,norec tenkozobý,Lumna,Tankokljuna njorka,Sillgrissla,Common Murre,Alk,Кайра тонкодзьоба,崖海鸦,
6,Phasianus colchicus,rinphe,,Ring-necked Pheasant,Common Pheasant,Ring-necked Pheasant,Ring-necked Pheasant (Ring-necked),Колхидски фазан,Faisà Comú,bažant obecný,Fasan,Jagdfasan,(Κοινός) Φασιανός,Faisán Vulgar,fasaani,Faisan de Colchide,פסיון מצוי,fazan,Fácán,Ring-necked Pheasant,Fashani,Fagiano comune,コウライキジ,꿩,Medžiojamasis fazanas,Ring-necked Pheasant,Fazant,fasan,bażant,Faisão,Faisão,Fazan,Фазан,bažant obyčajný,Fazan,Fazan,Fasan,Ring-necked Pheasant (Ring-necked),Sülün,Фазан звичайний,雉鸡,
7,Somateria mollissima,comeid,,Common Eider,Common Eider,Common Eider,ايدر شائع,Обикновена гага,Èider Comú,kajka mořská,Ederfugl,Eiderente,(Κοινή) Πουπουλόπαπια,Éider Común,haahka,Eider à duvet,אדרית שחורת-כיפה,gavka,Pehelyréce,Common Eider,Æðarfugl,Edredone,ホンケワタガモ,Common Eider,Paprastoji gaga,Common Eider,Eider,ærfugl,edredon,Êider,Êider,Eider,Гага,kajka morská,Gaga,Gavka,Ejder,Common Eider,Pufla,Пухівка зеленошия,欧绒鸭,
8,Mareca penelope,eurwig,,Eurasian Wigeon,Eurasian Wigeon,Eurasian Wigeon,صواي أوراسي,Фиш,Ànec Xiulador Eurasiàtic,hvízdák eurasijský,Pibeand,Pfeifente,(Ευρωπαϊκό) Σφυριχτάρι,Silbón Europeo,haapana,Canard siffleur,ברווז צהוב-מצח,zviždara,Fütyülő réce,Itik bungalan,Rauðhöfðaönd,Fischione,ヒドリガモ,홍머리오리,Eurazinė cyplė,ചന്ദനക്കുറി എരണ്ട,Smient,brunnakke,świstun,Piadeira,Piadeira,Rață fluierătoare,Свиязь,kačica hvizdárka,Žvižgavka,Zviždara,Bläsand,เป็ดปากสั้น,Fiyu,Свищ євразійський,赤颈鸭,
9,Milvus migrans,blakit1,,Black Kite,Black Kite,Swart/Geelbekwou,حدأة سوداء,Черна каня,Milà Negre,luňák hnědý,Sort Glente,Schwarzmilan,Τσίφτης,Milano Negro,haarahaukka,Milan noir,דיה שחורה,crna lunja,Barna kánya,Elang paria,Vatnagleða,Nibbio bruno,トビ,솔개,Juodasis peslys,ചക്കിപ്പരുന്ത്,Zwarte Wouw,svartglente,kania czarna,Milhafre-Preto,Milhafre-preto,Gaie neagră,Чёрный коршун,haja tmavá,Črni škarnik,Crna lunja,Brun glada/Gulnäbbad glada,เหยี่ยวดำ/เหยี่ยวหูดำ,Kara Çaylak,Шуліка чорний,黑鸢,
