id;sci_name;com_name;gbif;class;order
15;Acanthis cabaret;Acanthis cabaret;Acanthis flammea;Aves;Passeriformes
16;Acanthis flammea;Redpoll;Acanthis flammea;Aves;Passeriformes
18;Acanthis hornemanni;Acanthis hornemanni;Acanthis hornemanni;Aves;Passeriformes
49;Astur atricapillus;American Goshawk;Falco atricapillus;Aves;Falconiformes
50;Astur gentilis;Eurasian Goshawk;Accipiter gentilis;Aves;Accipitriformes
51;Tachyspiza badia;Shikra;Accipiter badius;Aves;Accipitriformes
60;Astur cooperii;Cooper's Hawk;Accipiter cooperii;Aves;Accipitriformes
79;Accipiter nisus;Eurasian Sparrowhawk;Accipiter nisus;Aves;Accipitriformes
88;Accipiter striatus;Sharp-shinned Hawk;Accipiter striatus;Aves;Accipitriformes
110;Acheta domesticus;House Cricket;Acheta domesticus;Insecta;Orthoptera
120;Acridotheres cristatellus;Crested Myna;Acridotheres cristatellus;Aves;Passeriformes
127;Acridotheres tristis;Common Myna;Acridotheres tristis;Aves;Passeriformes
130;Acris crepitans;Northern Cricket Frog;Acris crepitans;Amphibia;Anura
138;Acrocephalus agricola;Paddyfield Warbler;Acrocephalus agricola;Aves;Passeriformes
139;Acrocephalus arundinaceus;Great Reed Warbler;Acrocephalus arundinaceus;Aves;Passeriformes
142;Acrocephalus baeticatus;Acrocephalus baeticatus;Acrocephalus baeticatus;Aves;Passeriformes
147;Acrocephalus dumetorum;Blyth's Reed Warbler;Acrocephalus dumetorum;Aves;Passeriformes
153;Acrocephalus melanopogon;Moustached Warbler;Acrocephalus melanopogon;Aves;Passeriformes
158;Acrocephalus paludicola;Aquatic Warbler;Acrocephalus paludicola;Aves;Passeriformes
159;Acrocephalus palustris;Marsh Warbler;Acrocephalus palustris;Aves;Passeriformes
165;Acrocephalus schoenobaenus;Sedge Warbler;Acrocephalus schoenobaenus;Aves;Passeriformes
166;Acrocephalus scirpaceus;Common Reed Warbler;Acrocephalus scirpaceus;Aves;Passeriformes
183;Acryllium vulturinum;Vulturine Guineafowl;Acryllium vulturinum;Aves;Galliformes
201;Actitis hypoleucos;Common Sandpiper;Actitis hypoleucos;Aves;Charadriiformes
202;Actitis macularius;Spotted Sandpiper;Actitis macularius;Aves;Charadriiformes
227;Aechmophorus clarkii;Clark's Grebe;Aechmophorus clarkii;Aves;Podicipediformes
228;Aechmophorus occidentalis;Western Grebe;Aechmophorus occidentalis;Aves;Podicipediformes
231;Aegithalos caudatus;Long-tailed Tit;Aegithalos caudatus;Aves;Passeriformes
244;Aegolius acadicus;Northern Saw-whet Owl;Aegolius acadicus;Aves;Strigiformes
245;Aegolius funereus;Boreal Owl;Aegolius funereus;Aves;Strigiformes
368;Agapornis fischeri;Fischer's Lovebird;Agapornis fischeri;Aves;Psittaciformes
371;Agapornis personatus;Yellow-collared Lovebird;Agapornis personatus;Aves;Psittaciformes
