index,mid,display_name,level_0,level_1,level_2,level_3,level_4,level_5,hierarchy_path,description
0,/m/09x0r,Speech,Human sounds,Human voice,Speech,,,,Human sounds > Human voice > Speech,"Speech is the vocalized form of human communication, created out of the phonetic combination of a limited set of vowel and consonant speech sound units."
1,/m/0ytgt,"Child speech, kid speaking",Human sounds,Human voice,Speech,"Child speech, kid speaking",,,"Human sounds > Human voice > Speech > Child speech, kid speaking","Speech uttered by a human child, i.e. a human whose voice does not yet resemble that of an adult."
2,/m/01h8n0,Conversation,Human sounds,Human voice,Speech,Conversation,,,Human sounds > Human voice > Speech > Conversation,"Interactive, spontaneous spoken communication between two or more people."
3,/m/02qldy,"Narration, monologue",Human sounds,Human voice,Speech,"Narration, monologue",,,"Human sounds > Human voice > Speech > Narration, monologue","Speech by a single human aimed at an audience (either present or assumed, as in a video blog)."
4,/m/0261r1,Babbling,Human sounds,Human voice,Speech,Babbling,,,Human sounds > Human voice > Speech > Babbling,Speech-like sounds uttered by a human that lack the deeper structure and meaning of conventional speech. Babbling is a stage in a child's development of language.
5,/m/0brhx,Speech synthesizer,Human sounds,Human voice,Speech,Speech synthesizer,,,Human sounds > Human voice > Speech > Speech synthesizer,Artificially-produced human speech.
6,/m/07p6fty,Shout,Human sounds,Human voice,Shout,,,,Human sounds > Human voice > Shout,Talk in a loud voice to deliberately command attention or overcome interfering sounds. Does not have the stronger emotional connotations of Yell or Scream.
7,/m/07q4ntr,Bellow,Human sounds,Human voice,Shout,Bellow,,,Human sounds > Human voice > Shout > Bellow,A very loud utterance by a person that seems more animal than human.
8,/m/07rwj3x,Whoop,Human sounds,Human voice,Shout,Whoop,,,Human sounds > Human voice > Shout > Whoop,A loud hooting cry of exultation or excitement.
9,/m/07sr1lc,Yell,Human sounds,Human voice,Shout,Yell,,,Human sounds > Human voice > Shout > Yell,"Utter or declare in a very loud voice that seems excessive or involuntary, or that is deliberately startling in order to command attention, as distinct from the pragmatically raised voice of Shout."
10,/t/dd00135,Children shouting,Human sounds,Human group actions,Children shouting,,,,Human sounds > Human group actions > Children shouting,"The boisterous vocalizations of a group of children, for instance in a playground."
11,/m/03qc9zr,Screaming,Human sounds,Human voice,Screaming,,,,Human sounds > Human voice > Screaming,"A sharp, high-pitched human vocalization; often an instinctive action indicating fear, pain, surprise, joy, anger, etc. Verbal content is absent or overwhelmed, unlike Shout and Yell."
12,/m/02rtxlg,Whispering,Human sounds,Human voice,Whispering,,,,Human sounds > Human voice > Whispering,"Unvoiced speech, usually intended to be quieter to avoid causing disturbance or being overheard."
13,/m/01j3sz,Laughter,Human sounds,Human voice,Laughter,,,,Human sounds > Human voice > Laughter,"The sound of rhythmical contractions of the diaphragm in response to stimuli such as tickling, or from humorous stories or thoughts."
14,/t/dd00001,Baby laughter,Human sounds,Human voice,Laughter,Baby laughter,,,Human sounds > Human voice > Laughter > Baby laughter,Laughter that is produced by a baby or infant.
15,/m/07r660_,Giggle,Human sounds,Human voice,Laughter,Giggle,,,Human sounds > Human voice > Laughter > Giggle,A foolish or nervous laugh.
16,/m/07s04w4,Snicker,Human sounds,Human voice,Laughter,Snicker,,,Human sounds > Human voice > Laughter > Snicker,A disrespectful laugh.
17,/m/07sq110,Belly laugh,Human sounds,Human voice,Laughter,Belly laugh,,,Human sounds > Human voice > Laughter > Belly laugh,Very loud and abrupt laughter that encompasses much of the body.
18,/m/07rgt08,"Chuckle, chortle",Human sounds,Human voice,Laughter,"Chuckle, chortle",,,"Human sounds > Human voice > Laughter > Chuckle, chortle",Laugh quietly or with restraint.
19,/m/0463cq4,"Crying, sobbing",Human sounds,Human voice,"Crying, sobbing",,,,"Human sounds > Human voice > Crying, sobbing","Sound associated with the shedding of tears in response to an emotional state, arising from slow but erratic inhalation, occasional instances of breath holding and muscular tremor."
20,/t/dd00002,"Baby cry, infant cry",Human sounds,Human voice,"Crying, sobbing","Baby cry, infant cry",,,"Human sounds > Human voice > Crying, sobbing > Baby cry, infant cry",The sound of a young child crying or bawling.
21,/m/07qz6j3,Whimper,Human sounds,Human voice,"Crying, sobbing",Whimper,,,"Human sounds > Human voice > Crying, sobbing > Whimper","A plaintive, whining vocalization with some abrupt changes in loudness."
22,/m/07qw_06,"Wail, moan",Human sounds,Human voice,"Wail, moan",,,,"Human sounds > Human voice > Wail, moan","A weak or soft emotional vocalization, possibly indicating pain, sadness, or pleasure."
23,/m/07plz5l,Sigh,Human sounds,Human voice,Sigh,,,,Human sounds > Human voice > Sigh,An utterance made by exhaling audibly.
24,/m/015lz1,Singing,Human sounds,Human voice,Singing,,,,Human sounds > Human voice > Singing,"Musical sounds produced with the human voice, including sustained tonality, rhythm, and a variety of other vocal techniques."
25,/m/0l14jd,Choir,Music,Musical instrument,Choir,,,,Music > Musical instrument > Choir,A musical ensemble of singers.
26,/m/01swy6,Yodeling,Human sounds,Human voice,Singing,Yodeling,,,Human sounds > Human voice > Singing > Yodeling,A form of singing that involves repeated and rapid changes of pitch between the low-pitch chest register and the high-pitch head register or falsetto.
27,/m/02bk07,Chant,Music,Music genre,Vocal music,Chant,,,Music > Music genre > Vocal music > Chant,"The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones."
